行业,代码,公司,最终状态,首个定量淘汰原因,定性结论,PE_TTM,最新ROE_pct,近3期ROE中位数_pct,ROE除以PE,最新毛利率_pct,近3期毛利率中位数_pct,最新资产负债率_pct,最新ROIC_pct,近3期ROIC中位数_pct,本地资料
工业,02039,中集集团,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-292.51,0.4,0.9,-0.00,12.4,12.5,59.9,0.2,0.4,stocks/工业/HK_中集集团(02039).md
工业,02050,三花智控,定量淘汰,ROE/PE<1,未进入定性复核,23.71,15.9,16.7,0.67,28.4,27.4,35.1,12.5,12.4,stocks/工业/HK_三花智控(02050).md
工业,02057,中通快递-W,定量淘汰,最新ROE<15%,未进入定性复核,13.87,14.1,14.5,1.02,25,30.4,26.2,11.5,11.5,stocks/工业/HK_中通快递-W(02057).md
工业,02068,中铝国际,定量淘汰,最新ROE<15%,未进入定性复核,18.05,3.9,3.3,0.22,13.5,12.2,77.5,0.7,0.6,stocks/工业/HK_中铝国际(02068).md
工业,02155,森松国际,定量淘汰,最新ROE<15%,未进入定性复核,14.61,11.3,15.6,0.77,26.1,27.9,42.1,9.4,11.5,stocks/工业/HK_森松国际(02155).md
工业,02208,金风科技,定量淘汰,最新ROE<15%,未进入定性复核,11.8,6.8,4.9,0.58,14.1,14.1,71.7,1.9,1.4,stocks/工业/HK_金风科技(02208).md
工业,02338,潍柴动力,定量淘汰,最新ROE<15%,未进入定性复核,22.38,12.2,12.2,0.55,21.5,21.5,64.3,4.4,4.5,stocks/工业/HK_潍柴动力(02338).md
工业,02343,太平洋航运,定量淘汰,最新ROE<15%,未进入定性复核,37.6,3.2,5.9,0.09,3.6,5.2,19.9,2.8,5,stocks/工业/HK_太平洋航运(02343).md
工业,02357,中航科工,定量淘汰,最新ROE<15%,未进入定性复核,12.08,5.1,6.7,0.42,19.5,21.7,51.9,1.7,2.3,stocks/工业/HK_中航科工(02357).md
工业,02402,亿华通,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-4.64,-27.3,-16.3,5.88,21.1,21.1,41,-18,-11.8,stocks/工业/HK_亿华通(02402).md
工业,02432,越疆,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-118.07,-4.7,-14.2,0.04,46.1,46.1,15.5,-13,-15.4,stocks/工业/HK_越疆(02432).md
工业,02507,西锐,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,13.06,16.7,19.2,1.28,35.2,34.5,39.5,14.8,14.8,stocks/工业/HK_西锐(02507).md
工业,02510,德翔海运,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,5.61,16.1,16.1,2.87,19.7,19.7,13.8,17,17,stocks/工业/HK_德翔海运(02510).md
工业,02570,重塑能源,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-2.96,-31.4,-31.4,10.61,11.5,17.2,60.1,-15.5,-16.3,stocks/工业/HK_重塑能源(02570).md
工业,02582,国富氢能,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-3.4,-34.7,-27,10.21,1.1,10,59.2,-15.9,-10.5,stocks/工业/HK_国富氢能(02582).md
工业,02588,中银航空租赁,定量淘汰,最新ROE<15%,未进入定性复核,8.63,11.9,14,1.38,,,74,3.1,3.4,stocks/工业/HK_中银航空租赁(02588).md
工业,02590,极智嘉-W,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1117.9,0.7,14.2,-0.00,35.5,34.8,40.4,-0.4,-33.5,stocks/工业/HK_极智嘉-W(02590).md
工业,02618,京东物流,定量淘汰,最新ROE<15%,未进入定性复核,11.5,12.1,12,1.05,9.1,9.1,52,7.4,7.4,stocks/工业/HK_京东物流(02618).md
工业,02650,挚达科技,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-32.33,-114.3,-114.3,3.54,15.2,15.2,78.3,-21.5,-21.5,stocks/工业/HK_挚达科技(02650).md
工业,02655,果下科技,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,78.78,16.5,34.3,0.21,18.6,18.6,66.5,6.4,6.4,stocks/工业/HK_果下科技(02655).md
工业,02692,兆威机电,定量淘汰,最新ROE<15%,未进入定性复核,45.66,7.6,7.1,0.17,33.4,31.2,19.3,6.4,6.1,stocks/工业/HK_兆威机电(02692).md
工业,02715,埃斯顿,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,133.02,2.2,2.2,0.02,29,29,78.6,0.5,0.5,stocks/工业/HK_埃斯顿(02715).md
工业,02727,上海电气,定量淘汰,最新ROE<15%,未进入定性复核,34.77,2.2,1.4,0.06,17.5,18.1,75.4,0.5,0.3,stocks/工业/HK_上海电气(02727).md
工业,02866,中远海发,定量淘汰,最新ROE<15%,未进入定性复核,6.93,5.3,5.3,0.76,18,18,76.3,1.4,1.4,stocks/工业/HK_中远海发(02866).md
工业,02880,辽港股份,定量淘汰,最新ROE<15%,未进入定性复核,9.82,3.3,3.3,0.34,28.6,27.7,23.5,2.7,2.7,stocks/工业/HK_辽港股份(02880).md
工业,03311,中国建筑国际,定量淘汰,最新ROE<15%,未进入定性复核,4.46,13,14.7,2.91,15.9,15.5,71.4,3.6,4.3,stocks/工业/HK_中国建筑国际(03311).md
工业,03339,中国龙工,定量淘汰,最新ROE<15%,未进入定性复核,9.27,11.7,9.8,1.26,21.4,19.6,32.1,10.9,8.3,stocks/工业/HK_中国龙工(03339).md
工业,03369,秦港股份,定量淘汰,最新ROE<15%,未进入定性复核,7.16,8.1,8.3,1.13,41.7,38.1,23,6.9,6.7,stocks/工业/HK_秦港股份(03369).md
工业,03396,联想控股,定量淘汰,最新ROE<15%,未进入定性复核,26.96,1.9,0.2,0.07,15.9,16.7,86,0.2,0,stocks/工业/HK_联想控股(03396).md
工业,03677,正力新能,定量淘汰,最新ROE<15%,未进入定性复核,15.58,11.6,1.7,0.74,18.4,14.6,61.8,5.4,0.7,stocks/工业/HK_正力新能(03677).md
工业,03750,宁德时代,定量淘汰,ROE/PE<1,未进入定性复核,32.35,24.7,24.7,0.76,26.3,24.4,61.9,13.5,11.6,stocks/工业/HK_宁德时代(03750).md
工业,03877,中国船舶租赁,定量淘汰,最新ROE<15%,未进入定性复核,7.43,12.6,15.7,1.70,,,65,4.5,4.6,stocks/工业/HK_中国船舶租赁(03877).md
工业,03898,时代电气,定量淘汰,最新ROE<15%,未进入定性复核,9.8,9.8,9.4,1.00,33.4,33.4,36.3,7.3,7.3,stocks/工业/HK_时代电气(03898).md
工业,03899,中集安瑞科,定量淘汰,最新ROE<15%,未进入定性复核,13,9.6,9.6,0.74,14,14.4,57.2,5.2,5.5,stocks/工业/HK_中集安瑞科(03899).md
工业,03931,中创新航,定量淘汰,最新ROE<15%,未进入定性复核,16.35,4.1,1.7,0.25,16.7,15.9,64,1.3,0.6,stocks/工业/HK_中创新航(03931).md
工业,03969,中国通号,定量淘汰,最新ROE<15%,未进入定性复核,8.33,7.5,7.5,0.90,28.9,28.9,55.7,4,3.7,stocks/工业/HK_中国通号(03969).md
工业,03996,中国能源建设,定量淘汰,最新ROE<15%,未进入定性复核,7.56,4.9,7.4,0.65,12.2,12.4,77.7,0.8,1.3,stocks/工业/HK_中国能源建设(03996).md
工业,06031,三一重工,定量淘汰,最新ROE<15%,未进入定性复核,19.9,10.5,8.5,0.53,27.7,26.7,48.4,6.3,4.5,stocks/工业/HK_三一重工(06031).md
工业,06198,青岛港,定量淘汰,最新ROE<15%,未进入定性复核,7.48,12,12.7,1.60,36.7,35.6,24.7,11.3,11.3,stocks/工业/HK_青岛港(06198).md
工业,06600,卧安机器人,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-464.4,-2.7,-2.7,0.01,54,51.7,23.5,-5.2,-5.2,stocks/工业/HK_卧安机器人(06600).md
工业,06936,顺丰控股,定量淘汰,最新ROE<15%,未进入定性复核,13.38,11.6,11,0.87,13.1,13.1,49,6.2,6,stocks/工业/HK_顺丰控股(06936).md
工业,07618,京东工业,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,14.41,39.6,39.6,2.75,17.4,16.2,41.8,50.5,20.8,stocks/工业/HK_京东工业(07618).md
工业,09699,顺丰同城,定量淘汰,最新ROE<15%,未进入定性复核,24.08,8.9,4.5,0.37,6.3,6.4,40,7.3,4.7,stocks/工业/HK_顺丰同城(09699).md
工业,09880,优必选,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-54.77,-15.1,-55.2,0.28,37.7,31.5,28.5,-15.6,-28.6,stocks/工业/HK_优必选(09880).md
工业,09981,沃尔核材,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,11.58,19,16.2,1.64,30.3,30.5,44.5,11.8,10.5,stocks/工业/HK_沃尔核材(09981).md
公用事业,00002,中电控股,定量淘汰,最新ROE<15%,未进入定性复核,18.57,9.9,9.9,0.53,33.5,32.7,50.8,4.7,4.7,stocks/公用事业/HK_中电控股(00002).md
公用事业,00003,香港中华煤气,定量淘汰,最新ROE<15%,未进入定性复核,22.6,9.7,9.7,0.43,15,14.7,56.4,4,4,stocks/公用事业/HK_香港中华煤气(00003).md
公用事业,00006,电能实业,定量淘汰,最新ROE<15%,未进入定性复核,19.96,7,7,0.35,,,7.7,6.7,6.7,stocks/公用事业/HK_电能实业(00006).md
公用事业,00257,光大环境,定量淘汰,最新ROE<15%,未进入定性复核,7.86,7.8,7.8,0.99,40.3,40.3,61.8,2.5,2.5,stocks/公用事业/HK_光大环境(00257).md
公用事业,00270,粤海投资,定量淘汰,最新ROE<15%,未进入定性复核,10.97,11,7.5,1.00,53.3,53.1,42.9,5.2,2.9,stocks/公用事业/HK_粤海投资(00270).md
公用事业,00371,北控水务集团,定量淘汰,最新ROE<15%,未进入定性复核,14.12,5,5.4,0.35,38.5,37,66,1.2,1.3,stocks/公用事业/HK_北控水务集团(00371).md
公用事业,00384,中国燃气,定量淘汰,最新ROE<15%,未进入定性复核,11.6,4.9,5.7,0.42,14.8,14.2,58.9,2,2.3,stocks/公用事业/HK_中国燃气(00384).md
公用事业,00392,北京控股,定量淘汰,最新ROE<15%,未进入定性复核,7.01,5.8,6.2,0.83,13.7,13.6,52.2,3,3.1,stocks/公用事业/HK_北京控股(00392).md
公用事业,00836,华润电力,定量淘汰,最新ROE<15%,未进入定性复核,6.86,13.8,13.8,2.01,55.1,50.4,67.4,4.1,4.1,stocks/公用事业/HK_华润电力(00836).md
公用事业,00855,中国水务,定量淘汰,最新ROE<15%,未进入定性复核,7.59,7,8.3,0.92,34.4,37.1,64.2,1.8,2.1,stocks/公用事业/HK_中国水务(00855).md
公用事业,00895,东江环保,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1.27,-41.2,-19.9,32.44,0.9,4.3,71.5,-13.8,-8.1,stocks/公用事业/HK_东江环保(00895).md
公用事业,00902,华能国际电力股份,定量淘汰,最新ROE<15%,未进入定性复核,5.96,9.9,7.2,1.66,47.8,42.1,64.6,2.8,2,stocks/公用事业/HK_华能国际电力股份(00902).md
公用事业,00916,龙源电力,定量淘汰,最新ROE<15%,未进入定性复核,9.58,6.3,8.8,0.66,,82.3,66.6,1.9,2.8,stocks/公用事业/HK_龙源电力(00916).md
公用事业,00956,新天绿色能源,定量淘汰,最新ROE<15%,未进入定性复核,8.01,7.7,7.7,0.96,20.8,20.8,66.3,2.3,2.3,stocks/公用事业/HK_新天绿色能源(00956).md
公用事业,00991,大唐发电,定量淘汰,近3期ROE中位数<15%,未进入定性复核,6.22,18.6,10.6,2.99,50.7,43.5,70.1,2.3,1.3,stocks/公用事业/HK_大唐发电(00991).md
公用事业,01038,长江基建集团,定量淘汰,最新ROE<15%,未进入定性复核,18.78,6.6,6.6,0.35,3.3,16.9,17.1,5.7,5.7,stocks/公用事业/HK_长江基建集团(01038).md
公用事业,01065,天津创业环保股份,定量淘汰,最新ROE<15%,未进入定性复核,6.02,8.7,8.7,1.45,38.3,39,56.1,4.2,4.2,stocks/公用事业/HK_天津创业环保股份(01065).md
公用事业,01071,华电国际电力股份,定量淘汰,最新ROE<15%,未进入定性复核,7.14,8.7,8.1,1.22,11.4,26.8,61.4,2.8,2.8,stocks/公用事业/HK_华电国际电力股份(01071).md
公用事业,01083,港华智慧能源,定量淘汰,最新ROE<15%,未进入定性复核,7.87,6.4,6.9,0.81,6.6,8.4,49,3.2,3.4,stocks/公用事业/HK_港华智慧能源(01083).md
公用事业,01193,华润燃气,定量淘汰,最新ROE<15%,未进入定性复核,10.29,8.3,10,0.81,17.8,17.8,50.1,3.4,3.9,stocks/公用事业/HK_华润燃气(01193).md
公用事业,01330,绿色动力环保,定量淘汰,最新ROE<15%,未进入定性复核,10.81,7.6,7.6,0.70,46.7,45.4,60.4,3,3,stocks/公用事业/HK_绿色动力环保(01330).md
公用事业,01635,大众公用,定量淘汰,最新ROE<15%,未进入定性复核,22.72,4.8,2.8,0.21,14.6,14.6,54.8,2.3,1.3,stocks/公用事业/HK_大众公用(01635).md
公用事业,01735,中环新能源,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,1011.59,2.6,10.8,0.00,1.9,2.1,69.7,0.7,3.2,stocks/公用事业/HK_中环新能源(01735).md
公用事业,01811,中广核新能源,定量淘汰,最新资产负债率>40%或未披露,未进入定性复核,4.64,15.8,15.8,3.41,68.7,61,77.8,3.2,3.2,stocks/公用事业/HK_中广核新能源(01811).md
公用事业,01816,中广核电力,定量淘汰,最新ROE<15%,未进入定性复核,13.59,7.8,9.3,0.57,32,34,65.2,2.5,3.1,stocks/公用事业/HK_中广核电力(01816).md
公用事业,02380,中国电力,定量淘汰,最新ROE<15%,未进入定性复核,10.98,5.1,5.3,0.46,,,67.9,1,1.2,stocks/公用事业/HK_中国电力(02380).md
公用事业,02688,新奥能源,定量淘汰,最新ROE<15%,未进入定性复核,7.36,12.7,13.6,1.73,11.9,12.2,49,6.5,6.8,stocks/公用事业/HK_新奥能源(02688).md
公用事业,03633,中裕能源,定量淘汰,最新ROE<15%,未进入定性复核,27.82,3.4,3.1,0.12,13.1,13.1,67.5,1.1,1,stocks/公用事业/HK_中裕能源(03633).md
公用事业,03868,信义能源,定量淘汰,最新ROE<15%,未进入定性复核,7.16,7.9,7.9,1.10,61.8,65.6,40.9,4.7,4.7,stocks/公用事业/HK_信义能源(03868).md
金融,00005,汇丰控股,定量淘汰,最新ROE<15%,未进入定性复核,16.39,11,12.4,0.67,,,93.6,0.7,0.8,stocks/金融/HK_汇丰控股(00005).md
金融,00023,东亚银行,定量淘汰,最新ROE<15%,未进入定性复核,10.34,3.4,4.2,0.33,,,88.5,0.4,0.5,stocks/金融/HK_东亚银行(00023).md
金融,00165,中国光大控股,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-4.94,-6.4,-5.9,1.30,,,56.4,-3.1,-2.8,stocks/金融/HK_中国光大控股(00165).md
金融,00290,国富量子,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-8.7,-39.2,-5.7,4.51,,,23.9,-32.3,-8.1,stocks/金融/HK_国富量子(00290).md
金融,00388,香港交易所,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,26.84,31.7,24.8,1.18,,,89.9,5.5,5.5,stocks/金融/HK_香港交易所(00388).md
金融,00440,大新金融,定量淘汰,最新ROE<15%,未进入定性复核,6.66,5.7,5.1,0.86,,,82.8,0.8,0.7,stocks/金融/HK_大新金融(00440).md
金融,00939,建设银行,定量淘汰,最新ROE<15%,未进入定性复核,5.72,9.7,10.4,1.70,,,91.9,0.8,0.9,stocks/金融/HK_建设银行(00939).md
金融,00966,中国太平,定量淘汰,近3期ROE中位数<15%,未进入定性复核,2.91,27.3,9.3,9.38,,,91.7,1.5,0.5,stocks/金融/HK_中国太平(00966).md
金融,00998,中信银行,定量淘汰,最新ROE<15%,未进入定性复核,4.98,8.7,9.1,1.75,,,91.6,0.7,0.8,stocks/金融/HK_中信银行(00998).md
金融,01288,农业银行,定量淘汰,最新ROE<15%,未进入定性复核,6.04,9.2,9.4,1.52,,,93.4,0.7,0.7,stocks/金融/HK_农业银行(01288).md
金融,01299,友邦保险,定量淘汰,最新ROE<15%,未进入定性复核,16.38,14.9,14.9,0.91,,,87.4,2,2,stocks/金融/HK_友邦保险(01299).md
金融,01336,新华保险,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,3.63,34.9,26.1,9.61,,,94.1,2.1,1.7,stocks/金融/HK_新华保险(01336).md
金融,01339,中国人民保险集团,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,4.94,16,16,3.24,,,79.3,2.7,2.7,stocks/金融/HK_中国人民保险集团(01339).md
金融,01359,中国信达,定量淘汰,最新ROE<15%,未进入定性复核,9.58,1.8,1.8,0.19,,,87,0.2,0.2,stocks/金融/HK_中国信达(01359).md
金融,01375,中州证券,定量淘汰,最新ROE<15%,未进入定性复核,13.68,3.2,1.8,0.23,,,75,1.2,0.6,stocks/金融/HK_中州证券(01375).md
金融,01398,工商银行,定量淘汰,最新ROE<15%,未进入定性复核,5.9,9,9.5,1.53,,,92,0.8,0.8,stocks/金融/HK_工商银行(01398).md
金融,01428,耀才证券金融,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,16.66,36.5,36.5,2.19,,,77.3,8.2,8.2,stocks/金融/HK_耀才证券金融(01428).md
金融,01456,国联民生,定量淘汰,最新ROE<15%,未进入定性复核,9.56,5.7,3.9,0.60,,,74,1.4,0.9,stocks/金融/HK_国联民生(01456).md
金融,01658,邮储银行,定量淘汰,最新ROE<15%,未进入定性复核,5.86,8,8.7,1.37,,,93.8,0.5,0.6,stocks/金融/HK_邮储银行(01658).md
金融,01776,广发证券,定量淘汰,最新ROE<15%,未进入定性复核,7.69,9,6.8,1.17,,,83.3,2,1.7,stocks/金融/HK_广发证券(01776).md
金融,01788,国泰君安国际,定量淘汰,最新ROE<15%,未进入定性复核,14.88,8.7,2.3,0.58,,,89.6,1,0.3,stocks/金融/HK_国泰君安国际(01788).md
金融,01828,富卫集团,定量淘汰,最新ROE<15%,未进入定性复核,46.61,1.5,-1.1,0.03,,,89,0.2,-0.2,stocks/金融/HK_富卫集团(01828).md
金融,01963,重庆银行,定量淘汰,最新ROE<15%,未进入定性复核,4.3,9.1,9.1,2.12,,,93.6,0.6,0.7,stocks/金融/HK_重庆银行(01963).md
金融,01988,民生银行,定量淘汰,最新ROE<15%,未进入定性复核,4.63,4.6,5.1,0.99,,,91,0.4,0.4,stocks/金融/HK_民生银行(01988).md
金融,02016,浙商银行,定量淘汰,最新ROE<15%,未进入定性复核,4.28,6.4,7.9,1.50,,,94,0.4,0.5,stocks/金融/HK_浙商银行(02016).md
金融,02318,中国平安,定量淘汰,最新ROE<15%,未进入定性复核,6.8,14,13.9,2.06,,,89.8,1.1,1.1,stocks/金融/HK_中国平安(02318).md
金融,02328,中国财险,定量淘汰,最新ROE<15%,未进入定性复核,7.45,14.8,13.1,1.99,,,66.4,5.1,4.5,stocks/金融/HK_中国财险(02328).md
金融,02356,大新银行集团,定量淘汰,最新ROE<15%,未进入定性复核,7.27,7.2,6.2,0.99,,,86.2,1,0.8,stocks/金融/HK_大新银行集团(02356).md
金融,02378,保诚,定量淘汰,近3期ROE中位数<15%,未进入定性复核,9.06,21.2,12.9,2.34,,,89.9,2.1,1.3,stocks/金融/HK_保诚(02378).md
金融,02388,中银香港,定量淘汰,最新ROE<15%,未进入定性复核,12.45,11.5,11.5,0.92,,,91.9,1.1,1.1,stocks/金融/HK_中银香港(02388).md
金融,02601,中国太保,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,4.72,18,16.6,3.81,,,89.4,1.8,1.8,stocks/金融/HK_中国太保(02601).md
金融,02611,国泰海通,定量淘汰,最新ROE<15%,未进入定性复核,10.62,11.1,7.7,1.05,,,83.6,1.8,1.4,stocks/金融/HK_国泰海通(02611).md
金融,02628,中国人寿,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,4.83,27.9,21.7,5.78,,,92,2.2,1.7,stocks/金融/HK_中国人寿(02628).md
金融,02685,量化派,定量淘汰,近3期ROE中位数<15%,未进入定性复核,42.7,98.5,-0.3,2.31,95.4,95.4,18.1,22.2,22.2,stocks/金融/HK_量化派(02685).md
金融,02691,南华期货股份,定量淘汰,最新ROE<15%,未进入定性复核,7.52,10,11.4,1.33,,,91.4,0.9,1.1,stocks/金融/HK_南华期货股份(02691).md
金融,02799,中信金融资产,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,3.99,18.7,18.4,4.69,,,95,1.2,1.1,stocks/金融/HK_中信金融资产(02799).md
金融,02858,易鑫集团,定量淘汰,最新ROE<15%,未进入定性复核,7.9,7.2,5,0.91,55.9,48.6,68.8,2.5,1.9,stocks/金融/HK_易鑫集团(02858).md
金融,02888,渣打集团,定量淘汰,最新ROE<15%,未进入定性复核,12.37,9.7,8,0.78,,,94.1,0.6,0.5,stocks/金融/HK_渣打集团(02888).md
金融,03328,交通银行,定量淘汰,最新ROE<15%,未进入定性复核,5.8,7.9,8.4,1.36,,,91.8,0.7,0.7,stocks/金融/HK_交通银行(03328).md
金融,03360,远东宏信,定量淘汰,最新ROE<15%,未进入定性复核,7.42,7.7,7.8,1.04,,,83.7,1.2,1.2,stocks/金融/HK_远东宏信(03360).md
金融,03618,重庆农村商业银行,定量淘汰,最新ROE<15%,未进入定性复核,5.1,9,9.1,1.76,,,91.6,0.8,0.8,stocks/金融/HK_重庆农村商业银行(03618).md
金融,03678,弘业期货,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,126.8,0.2,0.4,0.00,,,85.3,0.1,0.2,stocks/金融/HK_弘业期货(03678).md
金融,03698,徽商银行,定量淘汰,最新ROE<15%,未进入定性复核,3.44,10.2,10.3,2.97,,,92.6,0.8,0.9,stocks/金融/HK_徽商银行(03698).md
金融,03866,青岛银行,定量淘汰,最新ROE<15%,未进入定性复核,4.35,11.1,10.3,2.55,,,93.8,0.7,0.7,stocks/金融/HK_青岛银行(03866).md
金融,03908,中金公司,定量淘汰,最新ROE<15%,未进入定性复核,8.37,8.2,6,0.98,,,84.1,1.5,1.1,stocks/金融/HK_中金公司(03908).md
金融,03958,东方证券,定量淘汰,最新ROE<15%,未进入定性复核,7.21,6.9,4.2,0.96,,,83,1.4,1.1,stocks/金融/HK_东方证券(03958).md
金融,03968,招商银行,定量淘汰,最新ROE<15%,未进入定性复核,7.05,12,12.9,1.70,,,90.2,1.2,1.3,stocks/金融/HK_招商银行(03968).md
金融,03988,中国银行,定量淘汰,最新ROE<15%,未进入定性复核,6.01,8.3,8.7,1.38,,,91.6,0.7,0.7,stocks/金融/HK_中国银行(03988).md
金融,06030,中信证券,定量淘汰,最新ROE<15%,未进入定性复核,10.97,9.8,7.7,0.89,,,84.3,1.7,1.6,stocks/金融/HK_中信证券(06030).md
金融,06060,众安在线,定量淘汰,最新ROE<15%,未进入定性复核,15.04,4.8,4.8,0.32,,,45.5,2.5,2.5,stocks/金融/HK_众安在线(06060).md
金融,06066,中信建投证券,定量淘汰,最新ROE<15%,未进入定性复核,7.48,8.4,7.4,1.12,,,82.4,1.7,1.5,stocks/金融/HK_中信建投证券(06066).md
金融,06069,盛业,定量淘汰,最新ROE<15%,未进入定性复核,14.97,11.3,9.5,0.75,,97.8,61.9,4.6,3.6,stocks/金融/HK_盛业(06069).md
金融,06099,招商证券,定量淘汰,最新ROE<15%,未进入定性复核,8.92,9.2,8.2,1.03,,,81.7,2.1,1.8,stocks/金融/HK_招商证券(06099).md
金融,06178,光大证券,定量淘汰,最新ROE<15%,未进入定性复核,7.61,5.3,5.3,0.70,,,77.1,1.3,1.3,stocks/金融/HK_光大证券(06178).md
金融,06196,郑州银行,定量淘汰,最新ROE<15%,未进入定性复核,3.66,3.5,3.5,0.96,,,92.4,0.3,0.3,stocks/金融/HK_郑州银行(06196).md
金融,06806,申万宏源,定量淘汰,最新ROE<15%,未进入定性复核,5.81,8.8,5.1,1.51,,,81.1,1.5,0.9,stocks/金融/HK_申万宏源(06806).md
金融,06818,中国光大银行,定量淘汰,最新ROE<15%,未进入定性复核,4.25,6.5,7.3,1.53,,,91.5,0.6,0.6,stocks/金融/HK_中国光大银行(06818).md
金融,06881,中国银河,定量淘汰,最新ROE<15%,未进入定性复核,5.77,8.7,7.4,1.51,,,82.7,2,1.8,stocks/金融/HK_中国银河(06881).md
金融,06886,华泰证券,定量淘汰,最新ROE<15%,未进入定性复核,7.85,8.2,8.2,1.04,,,80.8,1.8,1.8,stocks/金融/HK_华泰证券(06886).md
金融,06963,阳光保险,定量淘汰,最新ROE<15%,未进入定性复核,6,10.5,8.9,1.75,,,90.4,1,1,stocks/金融/HK_阳光保险(06963).md
金融,09636,九方智投控股,定量淘汰,最新资产负债率>40%或未披露,未进入定性复核,14.02,40.3,18.7,2.87,82.2,82.2,42.6,39.2,16.5,stocks/金融/HK_九方智投控股(09636).md
可选消费,00027,银河娱乐,定量淘汰,最新ROE<15%,未进入定性复核,12.95,13.4,11.9,1.03,97.5,96.9,16.2,13.4,12,stocks/可选消费/HK_银河娱乐(00027).md
可选消费,00175,吉利汽车,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,11.13,18.8,18.8,1.69,16.6,15.9,67.8,8.3,8.3,stocks/可选消费/HK_吉利汽车(00175).md
可选消费,00200,新濠国际发展,定量淘汰,近3期ROE中位数<15%,未进入定性复核,7.27,108.5,-142,14.92,,,88.3,1.6,-1.1,stocks/可选消费/HK_新濠国际发展(00200).md
可选消费,00300,美的集团,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,14.42,20,20.3,1.39,26.2,26.2,61.2,8.2,8.2,stocks/可选消费/HK_美的集团(00300).md
可选消费,00303,伟易达集团,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,12.98,20.8,24.3,1.60,32.7,31.5,50.2,13.3,16.2,stocks/可选消费/HK_伟易达集团(00303).md
可选消费,00308,香港中旅,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-22.38,-2.1,0.7,0.09,29.7,32.1,27.6,-1.7,0.5,stocks/可选消费/HK_香港中旅(00308).md
可选消费,00325,布鲁可,定量淘汰,近3期ROIC中位数<15%,未进入定性复核,17.35,99.9,25,5.76,46.8,47.3,30.4,58.5,-17,stocks/可选消费/HK_布鲁可(00325).md
可选消费,00425,敏实集团,定量淘汰,最新ROE<15%,未进入定性复核,10.84,12.3,12,1.13,28,28,42.3,7.4,6.8,stocks/可选消费/HK_敏实集团(00425).md
可选消费,00551,裕元集团,定量淘汰,最新ROE<15%,未进入定性复核,8.1,8.4,8.4,1.04,22.8,24.4,32.1,6.2,6.2,stocks/可选消费/HK_裕元集团(00551).md
可选消费,00590,六福集团,定量淘汰,最新ROE<15%,未进入定性复核,7,14.5,14.1,2.07,36.7,33.1,32.5,11.4,11.4,stocks/可选消费/HK_六福集团(00590).md
可选消费,00667,中国东方教育,定量淘汰,最新ROE<15%,未进入定性复核,10.84,12.7,9,1.17,55.3,51.4,39.8,10.7,8.1,stocks/可选消费/HK_中国东方教育(00667).md
可选消费,00699,均胜电子,定量淘汰,最新ROE<15%,未进入定性复核,12.61,8.7,8.4,0.69,18.3,16.2,65.3,2.5,2.4,stocks/可选消费/HK_均胜电子(00699).md
可选消费,00751,创维集团,定量淘汰,最新ROE<15%,未进入定性复核,21.6,2,3.1,0.09,12.8,13.5,69.9,0.6,1,stocks/可选消费/HK_创维集团(00751).md
可选消费,00780,同程旅行,定量淘汰,最新ROE<15%,未进入定性复核,10.76,11.1,10.5,1.03,66.3,66.3,43.8,7.5,7.2,stocks/可选消费/HK_同程旅行(00780).md
